ratio,i_cv,clf,thr,support,precision,recall,f1-score,accuracy,kappa
1.0,0.0,LR,0.675,22154.0,0.9241405882101117,0.9744064277331408,0.9486080899962648,0.90644,0.4313674793815161
2.0,0.0,LR,0.47500000000000003,22154.0,0.9234813833197966,0.9751286449399656,0.9486025424287,0.90636,0.42722479200895347
3.0,0.0,LR,0.375,22154.0,0.9240219159318551,0.9744064277331408,0.9485455663942349,0.90632,0.4303172639536367
4.0,0.0,LR,0.30000000000000004,22154.0,0.923441908181585,0.9751286449399656,0.9485817159919206,0.90632,0.4268718199951119
5.0,0.0,LR,0.25,22154.0,0.9234188034188034,0.9753543378170985,0.9486762962637749,0.90648,0.4272011352099315
1.0,1.0,LR,0.625,22097.0,0.9187948837802236,0.9785038693035254,0.9477098400175324,0.90456,0.4078381657544463
2.0,1.0,LR,0.42500000000000004,22097.0,0.9189373007438895,0.978322849255555,0.9477006707290341,0.90456,0.40873945531671096
3.0,1.0,LR,0.325,22097.0,0.9191730122942102,0.9778250441236367,0.9475923164634682,0.9044,0.4097695264095391
4.0,1.0,LR,0.25,22097.0,0.9184392646372012,0.9789564194234511,0.9477327491785322,0.90456,0.405572874383906
5.0,1.0,LR,0.225,22097.0,0.9198227751033102,0.9771009639317555,0.947597103357472,0.90448,0.4140408646919458
1.0,2.0,LR,0.675,22181.0,0.9254459129988452,0.9754294215770254,0.9497805092186127,0.90848,0.43844934580428685
2.0,2.0,LR,0.47500000000000003,22181.0,0.9243213249103637,0.9762860105495694,0.9495932820276699,0.90804,0.4304447087713914
3.0,2.0,LR,0.375,22181.0,0.9253271747498075,0.9754294215770254,0.949717972916621,0.90836,0.4373922204590298
4.0,2.0,LR,0.30000000000000004,22181.0,0.9246113104390911,0.9759253415084983,0.9495755927445002,0.90804,0.43218784686184775
5.0,2.0,LR,0.225,22181.0,0.9225181598062954,0.9790811956178711,0.9499584445124885,0.90848,0.42060787188481275
1.0,3.0,LR,0.65,22106.0,0.9215929506373514,0.974622274495612,0.9473661067628176,0.90424,0.42180540773567743
2.0,3.0,LR,0.45,22106.0,0.9211864768987477,0.9749841671944268,0.9473221545832142,0.90412,0.41903210681130354
3.0,3.0,LR,0.35000000000000003,22106.0,0.9217339210064616,0.9743960915588528,0.9473336998350741,0.9042,0.4225285078506996
4.0,3.0,LR,0.275,22106.0,0.9211831082236279,0.974938930607075,0.9472990198233046,0.90408,0.4188979692233631
5.0,3.0,LR,0.225,22106.0,0.9206762583785169,0.9755270062426491,0.9473083089898746,0.90404,0.41571784180170157
1.0,4.0,LR,0.65,22135.0,0.923017738833084,0.9755590693471877,0.948561388095761,0.90632,0.4290776459277049
2.0,4.0,LR,0.45,22135.0,0.922682614267407,0.9758301332730969,0.9485124602041936,0.9062,0.4267305403743047
3.0,4.0,LR,0.325,22135.0,0.9211220841137409,0.9775920487915066,0.9485173252679334,0.90604,0.41674042868312156
4.0,4.0,LR,0.30000000000000004,22135.0,0.9247800901094185,0.9736616218658234,0.9485915492957747,0.90656,0.44001039432761213
5.0,4.0,LR,0.25,22135.0,0.9244093812974317,0.9740230404337022,0.9485679088389283,0.90648,0.4376606142785714
1.0,5.0,LR,0.65,22046.0,0.9187678655232732,0.9768211920529801,0.9469055732659117,0.9034,0.41752553230400025
2.0,5.0,LR,0.45,22046.0,0.9181473433039329,0.9774108681847047,0.9468526859277162,0.90324,0.41331890930538007
3.0,5.0,LR,0.35000000000000003,22046.0,0.918992744344857,0.9766851129456591,0.946961034391767,0.90352,0.4192118926911621
4.0,5.0,LR,0.275,22046.0,0.9180691065570278,0.9774108681847047,0.9468110815739174,0.90316,0.4126162631606468
5.0,5.0,LR,0.225,22046.0,0.9177627378368024,0.9780005443164292,0.9469246140670634,0.90332,0.41118659139781466
1.0,6.0,LR,0.675,22022.0,0.9233782445869743,0.9740713831622922,0.9480476432501712,0.90596,0.45648573469017173
2.0,6.0,LR,0.47500000000000003,22022.0,0.9223963925273782,0.9752974298428844,0.9481095636435871,0.90596,0.4512674112313587
3.0,6.0,LR,0.375,22022.0,0.923169577561731,0.9744800653891563,0.9481311301581692,0.90608,0.455741572227785
4.0,6.0,LR,0.30000000000000004,22022.0,0.9225415646346179,0.9751157932976114,0.9481003995673194,0.90596,0.45204681003515
5.0,6.0,LR,0.25,22022.0,0.9223997251567465,0.9753428389792026,0.9481327800829876,0.906,0.4514032758704022
1.0,7.0,LR,0.65,22043.0,0.9179250917157239,0.9761829152111782,0.9461580740903595,0.90204,0.409372791237529
2.0,7.0,LR,0.5,22043.0,0.9216496620603556,0.9712380347502608,0.9457943099487542,0.90184,0.43050121852317114
3.0,7.0,LR,0.35000000000000003,22043.0,0.9183281390086667,0.9758199882048723,0.9462015572075837,0.90216,0.41215275122798556
4.0,7.0,LR,0.275,22043.0,0.917550811709063,0.9769087692237899,0.9462998769555283,0.90224,0.40763386025351767
5.0,7.0,LR,0.225,22043.0,0.917252246497168,0.9770902327269428,0.9462261664177137,0.90208,0.40534394080552616
1.0,8.0,LR,0.625,22134.0,0.918596759141427,0.9783590855697117,0.9475365362737377,0.90408,0.3952151968590172
2.0,8.0,LR,0.42500000000000004,22134.0,0.9185361095797464,0.9785849823800488,0.9476101935907251,0.9042,0.39514881773641264
3.0,8.0,LR,0.30000000000000004,22134.0,0.9172090271321106,0.9805276949489473,0.9478120359856755,0.9044,0.3867428732645183
4.0,8.0,LR,0.25,22134.0,0.9181459983900352,0.9790819553627903,0.9476353936637733,0.9042,0.39254761280291917
5.0,8.0,LR,0.2,22134.0,0.9173291610284168,0.9800759013282733,0.9476650211873662,0.90416,0.38690077790520594
1.0,9.0,LR,0.625,22111.0,0.9175122611195671,0.9814571932522274,0.9484081026156501,0.90556,0.3985403315162136
2.0,9.0,LR,0.42500000000000004,22111.0,0.917434683351653,0.9814571932522274,0.9483666557412869,0.90548,0.39779492737309985
3.0,9.0,LR,0.325,22111.0,0.9177769318614389,0.9813667405363846,0.9485072343401669,0.90576,0.4008702375058202
4.0,9.0,LR,0.25,22111.0,0.9167264895908112,0.9818190041155985,0.9481568832983928,0.90504,0.39177373515633285
5.0,9.0,LR,0.2,22111.0,0.9161886283111186,0.9823617204106553,0.9481219581396364,0.90492,0.387748735254249
